Subject,Session,t,Phi_,Phi_z
1,1,256,2509.49403185547,0.707510305370898
1,2,256,3022.96108455078,0.882367159152772
1,3,256,4733.42522732422,1.26184084327652
1,4,256,4678.51968904297,1.2890016891501
2,1,138,5473.29450148551,1.48664456183032
2,2,140,2812.78240457143,0.664963744858945
2,3,256,2151.21699564453,0.654003878313995
2,4,141,3385.76320173759,0.973960126866305
3,1,144,1240.51897131944,0.245993343945388
3,2,135,1250.80512488889,0.255938921074458
3,3,256,2023.58595619141,0.644259101331664
3,4,256,3823.33194203125,1.09771952343243
4,1,134,1879.52703936567,0.500926541077803
4,2,143,1796.85190580419,0.523936424888634
4,3,256,1332.64522462891,0.456504420562993
4,4,256,3059.27178029297,0.818636413783004
5,1,256,2774.41374939453,0.775382890133089
5,2,256,2009.69562787109,0.551343868578764
5,3,256,4881.3911772461,1.46272332391862
5,4,131,6468.86225095418,1.82629871862805
6,1,256,4645.39374722657,1.3481538102467
6,2,161,1481.71397608696,0.346472811471978
6,3,140,644.208375892855,0.167542173334119
6,4,145,7861.88925286208,1.96038055419315
7,1,138,2692.1326540942,0.640053333987852
7,2,139,1031.39070111511,0.306378912999578
7,3,256,2373.61777626953,0.687213780402508
7,4,140,6174.78421410716,1.6735930138584
8,1,148,2968.87187442567,0.875191047257027
8,2,256,1848.79884458984,0.653468576080709
8,3,136,4724.68178606617,1.42562501796043
8,4,256,3380.13053007813,1.07985423684323
9,1,256,4493.63007796875,1.24665926550756
9,2,144,2532.54362597222,0.693755558689116
9,3,256,1504.49367121094,0.376836288927843
9,4,256,5688.54036789063,1.5937407346806
10,1,256,2972.55310623047,0.85363733252245
10,2,140,2335.79185110714,0.684367954323468
10,3,145,1795.15141748276,0.503473424987772
10,4,141,2281.93130868794,0.729024629795773
11,1,141,5082.94664418439,1.4220594411936
11,2,256,1499.3247146875,0.431842119709141
11,3,147,2475.78943129252,0.549838687323126
11,4,147,2454.78566931973,0.582668896623972
12,1,256,1969.75385791016,0.550741077364652
12,2,144,496.536690381944,0.206693745727509
12,3,151,2558.95487069536,0.690091233346952
12,4,256,2021.51409119141,0.573430601360987
13,1,135,2242.83063251852,0.608133442789285
13,2,256,3318.38804755859,0.942255985412398
13,3,256,1585.46786402344,0.445066995654946
13,4,256,5474.05082332032,1.57430435128574
14,1,136,5525.28377485294,1.54245888397219
14,2,129,1363.00896562015,0.340642363091006
14,3,256,2163.0550463086,0.668368537861177
14,4,134,2017.10763440299,0.600462044010529
15,1,256,3121.68086167969,0.974546541929624
15,2,133,2421.70200157894,0.750294371415448
15,3,127,3198.44613311024,0.868585585306938
15,4,256,3873.8962680664,1.24086311478402
16,1,256,3891.57562109375,1.24129856539574
16,2,256,2480.99021082031,0.649743273094729
16,3,133,6742.27972078949,1.86972117033261
16,4,156,6173.15395342947,1.60006367732637
17,1,256,6686.7015353711,1.98060961547581
17,2,256,4224.68575035156,1.2944689119531
17,3,256,3086.10941396485,0.871005509444827
17,4,122,4883.94737627049,1.51650577505848
